start,end,text
29.246,49.986, hello and welcome aboard the battleship pretension i'm tyler smith i'm david backs and thank you for listening david yeah how you doing film loose uh... yeah i'd say that's about right we loosened up that's what we do p behind the curtain to talk about it before we show we say we're gonna record it at eight there's no way to say in a great fifteen we end up
50.666,53.988, Talking about movies and all the other shit that's going on in our lives.
54.028,58.65,"We're both on diets right now, which is weird And now here it is nine."
58.71,68.294,"Oh seven and we're finally hitting record, but that's How we get into the groove exactly to bring you people the fantastic show you listen to it, right?"
68.394,77.058,"I mean people email and they're like Tyler David How do you have such great chemistry and we say it's a mystery, you know, it's not a mystery anymore That's how it goes"
77.478,83.702," Yeah, because we commit ourselves to at least forty-five minutes of chemistry rekindling before we record every week."
83.962,84.723,"Right, absolutely."
85.483,87.165,"So, I mentioned we're both on diets."
87.685,92.688,"Well, special thanks real quick to Bill and Mike for being on the show last week."
93.189,94.85,It was a lot of fun.
94.91,95.47,So much fun.
95.61,98.992,"I've gone back and listened to it, and man, that thing is chaos."
99.132,103.035,"It's fun chaos, and it's more organized than the Go Bull Fadum show."
103.575,106.437,"But man, it's all over the place."
107.959,109.52, It's with episodes like that.
109.54,117.748,I Go back and listen and then I laugh as though I wasn't there and I'm not laughing at the stuff I said because we didn't talk much.
117.989,123.774,"Yeah, and and it's just delightful So thank you very much to Bill and Mike for being on the show."
123.814,125.196,It was a whole lot of fun
126.098,149.019, okay we're on diets yes i want to get this out of the way all right because i'm part of what i want to do i was telling you that me myself to what is by my standards a very strict diet for the month of january only and i want to get it out i thought about tweeting about it on a mission the podcast because the more people know about it the more pressure
150.842,152.926, I will have to stick to it.
154.229,156.234,I don't have a lot of willpower.
158.081,161.624," Yeah, for the last few days, I kind of wanted to downplay it."
162.804,170.91,"Because on this will tell you my thought process is, it's just like, well, whenever I inevitably fail, which is going to be way sooner than anybody thinks."
172.09,176.353,"You know, that's fewer people have to say, yeah, I failed and I quit because I'm a quitter."
176.513,177.034,And that's me.
178.014,183.858,"And so I decided like, I'm not gonna I don't think I'm gonna tell anybody, but it's just like, you know what, whatever, let's, let's just do it."
184.279,187.601,"And the last few days, I've done much better than I thought I would."
188.281,199.528," So I have found that I am Okay, I'm not and have never been like obese But you know in recent years, I guess my metabolism has slowed."
199.568,210.454,I have gotten overweight at this point I'm about I weigh about fifteen pounds more than I would like to Mm-hmm Fifteen pounds more than the top of the acceptable threshold.
210.634,216.798,"I'd like to wave and I'd like to losing more than fifteen pounds, but that's where I would be at least mostly happy"
217.878,229.486, But what I've found from being on this diet is that I think that I think about food the way that a chronic overeater does.
230.646,242.694,"Even though I don't eat all the time, I realize just how much of my mind and my planning for the day is taken up with the food that I'm going to eat."
243.234,245.957," Well, I don't think there's anything necessarily wrong with it."
