start,end,text
0.69,7.676," This episode of Astronomy Cast is brought to you by Swinburne Astronomy Online, the world's longest running online astronomy degree program."
8.137,12.861,Visit astronomy.swin.edu.au for more information.
18.291,22.874," Astronomy Cast, Episode Eighty-Four for Monday, April Fourteenth, Two Thousand Eight."
23.495,25.096,Getting Around the Solar System.
25.777,32.602,"Welcome to Astronomy Cast, our weekly facts-based journey through the cosmos, where we help you understand not only what we know, but how we know what we know."
33.142,40.728,"My name is Fraser Cain, I'm the publisher of Universe Today, and with me is Dr. Pamela Gay, a professor at Southern Illinois University, Edwardsville."
41.168,41.628,Hey Pamela.
42.009,43.27,"Hey Fraser, how's it going?"
43.85,44.791,"Good, how's Europe?"
45.852,49.055," I don't know yet, because we're cheating and recording this before I leave."
49.595,50.716,"Oh, this joke never gets old."
53.738,55.72,"So once again, we've booked a bunch in advance."
55.8,58.482,"And so I think, where are you right now, then?"
59.923,65.146,"Right now, I am probably over the Atlantic Ocean on my way home."
65.887,66.167,OK.
66.768,72.432,Then you had a good time at the pub with the mini astronomy cast to meet up in the UK.
72.652,73.513,"Yes, exactly."
74.105,76.547," All right, so let's get on to this week's show."
77.268,82.192,"Now, have you ever wondered what it takes to get a spacecraft off the Earth and into space?"
83.052,84.193,And what are orbits?
84.233,84.874,How does that work?
84.894,87.516,What's the difference between a polar and an equatorial orbit?
87.916,93.961,And how do managers at NASA actually navigate a spacecraft to another planet half a solar system away?
94.482,96.023,And how does it use gravity assists?
97.244,99.886,And how do they get the spacecraft into orbit around another planet?
100.046,100.747,And how do they land?
101.44,103.041," All right, so many questions."
103.301,103.541,Okay.
104.462,115.008,"So let's so this week, the plan is, we're going to talk about every way that spacecraft get from the Earth out into space, and do their job."
115.668,117.129,So let's bring it right back home.
117.43,123.113,And let's start with what are the mechanics of actually getting something off of the Earth?
123.763,127.285," Well, you need to actually fire more than just once."
127.585,137.731,There's this fascinating notion that if you give a rocket a big enough burst of energy that it will fly off into space and happily orbit.
138.532,149.579,"But when you look at what NASA rockets actually do, they fire and fire and fire and fire and fire and fire and fire and keep firing and the rocket makes it into space and they keep firing and the rocket's in space and then they shut off."
151.2,151.36,And
152.341,155.284, to our network television-trained mind.
155.564,166.953,"It looks like the rocket takes off perpendicular to the Earth, flies straight into space, and the engines turn off, and as soon as they turn off, the rocket starts going around the planet."
167.213,168.815,And that's not actually what happens.
169.537,178.881, you actually take off and you fling yourself in the direction of the Earth's rotation.
179.662,192.767,"So you're adding your velocity to the velocity that you already get from the planet's motion, and you take off such that you're heading on an arc into space."
194.389,207.59," you angle yourself such that once you get about where you want to be, you fire the rockets so that your orbit starts you going in roughly a circle around the planet."
208.663,209.464, I think that's a misnomer.
209.484,214.467,"As you said, people imagine a rocket ship taking off and going straight up and out into space."
214.967,216.168,And that never happens.
216.308,222.312,The rocket takes off and almost immediately starts to angle itself downrange.
224.694,233.625," so that it's almost aiming, so it's almost flying parallel to the Earth's surface, and going faster and faster and faster and getting higher and higher altitude."
234.026,244.018,"But in the end, it's, it's more that the rocket is going parallel to the Earth at at the thousand kilometers per hour, not straight up at the thousand kilometers per hour."
244.358,256.986," And this is why with the space tourists, with those flights, like the one with the Spaceship One, which went up to a hundred kilometers and came back down, it went straight up."
258.155,261.156, reached the limits of space and then came back down.
261.556,263.917,"And people said, Oh, well, then we're really close to getting into orbit."
263.937,274.16,"But in fact, it's a tremendously different amount of, of energy and velocity required to be going at thousand kilometers sideways around the earth."
274.881,287.345,"And the fact is that if we didn't have that extra firing that extra maneuver, once you get up to the top of your arc, that sets you going sideways, then you just fall straight back down."
288.45,294.492," Orbits are shaped like ellipses, and they're perfectly happy to have one end of that ellipse hit the planet."
295.492,316.537,"And to take an orbit and make it from one that goes up past the top of the atmosphere and comes back down and crashes onto the planet, you have to fire the engines up at the top of the arc, up at the top of the atmosphere, beyond the atmosphere, and set you moving sideways."
317.785,327.527," And it's that extra step, that firing at the top, that allows you to keep going in a circle around the planet instead of returning back to the surface more violently than you might have wished for."
328.207,333.648,Now the other thing you mentioned was the fact that the rocket is thrusting and thrusting and thrusting.
334.068,337.369,And why don't they just put one great big boom and get out into space?
337.709,340.29,Well that might be a bit devastating for the astronauts.
341.45,346.311,It comes down to how much acceleration can any one thing handle.
347.21,365.302," If I wanted to, I could, and I had the technology, which I don't think we have right now, but if I wanted to, and we did have the technology, I could accelerate a rocket over the course of perhaps thirty thousand feet such that it had all the velocity it needed to get to orbit."
365.322,376.669,"It would still have to do an extra firing once it got up to the correct altitude to get it going sideways, but I could get it going fast enough that it would get to that highest point, but I'd have to accelerate so fast"
377.315,382.857, that it would shake the tar out of the spacecraft and probably kill the astronauts by accelerating too fast.
383.237,395.04,"Well, that's what happens when a spacecraft is coming back through the atmosphere, it's crashing into the it's hitting this the solid atmosphere at huge velocity, and it's heating up."
395.36,403.322,"So if you were actually to try and accelerate it to that speed right away, I'm sure you would just vaporize it in the atmosphere, it would be bad."
403.622,406.623,"So instead, we do constant acceleration,"
407.846,409.878," And by firing constantly, you..."
411.283,416.805, don't have to get going to a velocity that will carry you through the atmosphere.
416.885,419.106,You can keep pushing yourself through the atmosphere.
419.847,428.69,"One way to think of this is if you've ever ridden a bike, you can get your bike going down the hill so fast that you don't have to pedal up the next hill."
429.351,435.313,But you might have to get yourself going so fast that you're a bit scared of what might happen if you hit a rock.
436.113,439.295,"But if instead you go down that first hill a little bit more slowly,"
439.855,445.24, you can pedal up the next hill and you never have to get going as fast and you'll still get to the top of the next hill.
446.2,462.754,"If we gave the rocket enough energy close to the planet Earth to carry it all the way up through the atmosphere, it would have to be going frighteningly fast and it would slow down and slow down and slow down as it goes through the atmosphere and encounters drag until it eventually pops out in orbit."
463.815,468.899,"By instead accelerating all the way through the atmosphere, it's just a little bit friendlier to everyone."
469.318,480.566," And so with that rocket that's firing constantly, the bulk of the energy that's coming out of the back of the rocket is just counteracting its pull back from the force of gravity."
481.126,488.031,"You know, if you take the amount of energy required to hold the rocket steady in air, in mid-air,"
489.352,492.134, that would be most of the energy that's coming out of the back of the rocket.
492.154,495.476,And then you're left with just a little bit of extra force.
495.576,496.957,And that's what pushes it up.
497.017,504.342,"And as the rocket is going faster and faster and faster, more and more of that of that energy that's coming out of the rocket is used to accelerate it."
504.662,516.33,"And that's why when you see like the space shuttle, or especially with the old the Saturn five, sitting on the pad, when they first turn it on, it barely seems to move and then it slowly inches up."
516.71,518.792,"But later on, it's going faster and faster."
519.712,520.393, much faster.
521.314,533.803,"The acceleration is increasing, so... Well, and one of the other things that's happening is you start off and the poor, innocent engines have to not only pick up the spacecraft, but they have to pick up all of the fuel."
534.484,537.246,"And the higher up you get, the less fuel you're trying to move."
538.132,543.698," And so you're firing engines to move smaller and smaller masses as you go, and that helps as well."
544.559,548.083,And all these things build together to allow us to get things into orbit.
549.024,552.548,"And once we're up there, we fire again so that we stay in orbit."
552.868,554.37,"Okay, so let's talk about some orbits then."
554.47,558.875,So what are the different kinds of orbits that a spacecraft might want to get into?
560.009,568.255," Well, the most common orbit for human beings is your standard run-of-the-mill low Earth kind of sort of equatorial orbit."
569.035,576.1,"These are orbits that pass over Cape Canaveral, that pass over the Soviet launch facilities."
577.211,585.374," And they're inclined to the equator, but most of the time, the International Space Station and the space shuttle stay over."
586.255,587.795,Hubble is there.
587.915,588.656,And Hubble too.
589.616,599.12,"They're staying over the equator, they're crisscrossing, they're passing over Florida, they're passing over mid-America, they're passing over the plains of Russia."
603.041,612.251," And these are just nice happy little orbits about three hundred miles up that take about ninety minutes, hundred minutes to go round and round and round."
612.912,619.939,And what's neat about these inclined orbits is every orbit they pass over a slightly different part of the planet.
620.54,622.783,So you have an orbit and you can imagine
623.982,631.026," a hula hoop going around the planet where it crosses the equator in two places, and then it has a high point and a low point."
631.587,643.174,"Well, as the Earth rotates inside that hula hoop, and in fact, as the hula hoop itself slowly rotates, that high point is over a different point on the planet every moment."
643.874,652.82,"And that allows different parts of the planet to have the International Space Station straight overhead at different times, which is cool for amateur observers who like to go out and look at these things."
