epoch,frame_auc,frame_f1_score,frame_fn,frame_fp,frame_precision,frame_tn,frame_tp,loss,utt_auc,utt_f1_score,utt_fn,utt_fp,utt_precision,utt_tn,utt_tp,val_frame_auc,val_frame_f1_score,val_frame_fn,val_frame_fp,val_frame_precision,val_frame_tn,val_frame_tp,val_loss,val_utt_auc,val_utt_f1_score,val_utt_fn,val_utt_fp,val_utt_precision,val_utt_tn,val_utt_tp
0,0.05161386728286743,2.0778482223704486e-07,114887.0,317410816.0,1.0396620098163112e-07,208511728.0,33.0,0.07278690487146378,0.5133420825004578,0.017600061371922493,3126.0,0.0,0.0,348974.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0.052867189049720764,0.0,114920.0,3056590.0,0.0,522866016.0,0.0,0.05878375470638275,0.5830719470977783,0.017600061371922493,3126.0,0.0,0.0,348974.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,0.052146874368190765,0.0,114920.0,0.0,0.0,525922400.0,0.0,0.05871277302503586,0.564509391784668,0.017600061371922493,3126.0,0.0,0.0,348974.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,0.05254537984728813,0.0,114920.0,0.0,0.0,525922432.0,0.0,0.05871616676449776,0.5946997404098511,0.017600061371922493,3126.0,0.0,0.0,348974.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,0.05409747362136841,0.0,114920.0,0.0,0.0,525922464.0,0.0,0.0587034597992897,0.580313503742218,0.017600061371922493,3126.0,0.0,0.0,348974.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,0.0524318665266037,0.0,114920.0,0.0,0.0,525922560.0,0.0,0.05899764224886894,0.611537754535675,0.017600061371922493,3126.0,0.0,0.0,348974.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,0.0526052787899971,0.0,114920.0,0.0,0.0,525922528.0,0.0,0.05836646258831024,0.6122445464134216,0.017600061371922493,3126.0,0.0,0.0,348974.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,0.052608948200941086,0.0,114920.0,0.0,0.0,525922496.0,0.0,0.0585990846157074,0.5793415307998657,0.017600061371922493,3126.0,0.0,0.0,348974.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,0.052606917917728424,0.0,114920.0,0.0,0.0,525922528.0,0.0,0.058638013899326324,0.5810858607292175,0.017600061371922493,3126.0,0.0,0.0,348974.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,0.05260550230741501,0.0,114920.0,0.0,0.0,525922368.0,0.0,0.058917488902807236,0.5935810208320618,0.017600061371922493,3126.0,0.0,0.0,348974.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,0.05260599032044411,0.0,114920.0,0.0,0.0,525922496.0,0.0,0.0578472800552845,0.6229137182235718,0.017600061371922493,3126.0,0.0,0.0,348974.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,0.052605390548706055,0.0,114920.0,0.0,0.0,525922560.0,0.0,0.05791427195072174,0.6171237230300903,0.017600061371922493,3126.0,0.0,0.0,348974.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,0.052606306970119476,0.0,114920.0,0.0,0.0,525922464.0,0.0,0.05860994756221771,0.6390721201896667,0.017600061371922493,3126.0,0.0,0.0,348974.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,0.05260996147990227,0.0,114920.0,0.0,0.0,525922464.0,0.0,0.05791211500763893,0.6516708731651306,0.017600061371922493,3126.0,0.0,0.0,348974.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,0.05260992422699928,0.0,114920.0,0.0,0.0,525922528.0,0.0,0.05692358687520027,0.6727127432823181,0.017600061371922493,3126.0,0.0,0.0,348974.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,0.05260973423719406,0.0,114920.0,0.0,0.0,525922432.0,0.0,0.059067659080028534,0.6185192465782166,0.017600061371922493,3126.0,0.0,0.0,348974.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,0.052609894424676895,0.0,114920.0,0.0,0.0,525922496.0,0.0,0.05817623808979988,0.6012787222862244,0.017600061371922493,3126.0,0.0,0.0,348974.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,0.05261003226041794,0.0,114920.0,0.0,0.0,525922560.0,0.0,0.05906658247113228,0.6069554686546326,0.017600061371922493,3126.0,0.0,0.0,348974.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,0.05260206758975983,0.0,114920.0,0.0,0.0,525922496.0,0.0,0.057937365025281906,0.6313812136650085,0.017600061371922493,3126.0,0.0,0.0,348974.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
